"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/10.+Durak/data=!4m7!3m6!1s0x14d34f211ad2e915:0xe559b35595ae95e3!8m2!3d39.927467!4d32.827483!16s%2Fg%2F11b7q2wnlr!19sChIJFenSGiFP0xQR45WulVWzWeU?authuser=0&hl=tr&rclk=1","10. Durak","·","Prof. Muammer Aksoy Cd"
"https://www.google.com/maps/place/33.+Durak/data=!4m7!3m6!1s0x14d34628877ebbcb:0xf07076db7b2e75ca!8m2!3d39.9080252!4d32.7740217!16s%2Fg%2F11b7q8j5cw!19sChIJy7t-hyhG0xQRynUue9t2cPA?authuser=0&hl=tr&rclk=1","33. Durak","·","Dumlupınar Blv."
"https://www.google.com/maps/place/34.+Durak/data=!4m7!3m6!1s0x14d34f270239fa49:0x4807baf7c6a40a32!8m2!3d39.929466!4d32.822974!16s%2Fg%2F11bych7djt!19sChIJSfo5AidP0xQRMgqkxve6B0g?authuser=0&hl=tr&rclk=1","34. Durak","·","Kazakistan Cd."
"https://www.google.com/maps/place/58.+Durak/data=!4m7!3m6!1s0x14d34f191718aa8b:0xb2a411eae5a8ec10!8m2!3d39.921739!4d32.8337672!16s%2Fg%2F11b7q247z2!19sChIJi6oYFxlP0xQREOyo5eoRpLI?authuser=0&hl=tr&rclk=1","58. Durak","·","Mareşal Fevzi Çakmak Cd."
"https://www.google.com/maps/place/Evler+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d344e53bf89d8d:0xb9e3488151ac23d2!8m2!3d39.836539!4d32.866188!16s%2Fg%2F11bycrtdfw!19sChIJjZ34O-VE0xQR0iOsUYFI47k?authuser=0&hl=tr&rclk=1","Evler Durağı","·","Karataş Köyü Yolu"
"https://www.google.com/maps/place/20.+Durak/data=!4m7!3m6!1s0x14d34f193e52efd9:0x3a73347fd6dbf57f!8m2!3d39.9218299!4d32.8336383!16s%2Fg%2F11byck6cz9!19sChIJ2e9SPhlP0xQRf_Xb1n80czo?authuser=0&hl=tr&rclk=1","20. Durak","·","Mareşal Fevzi Çakmak Cd."
"https://www.google.com/maps/place/17.+Durak/data=!4m7!3m6!1s0x14d3458c80363549:0x51537856c630e72d!8m2!3d39.886766!4d32.833692!16s%2Fg%2F11b7q944g5!19sChIJSTU2gIxF0xQRLecwxlZ4U1E?authuser=0&hl=tr&rclk=1","17. Durak","·","Ahmet Haşim Cd."
"https://www.google.com/maps/place/36.+Durak/data=!4m7!3m6!1s0x14d34f2528fac7ff:0xd129f3dd0439caeb!8m2!3d39.9231229!4d32.822336!16s%2Fg%2F11b7q5k518!19sChIJ_8f6KCVP0xQR68o5BN3zKdE?authuser=0&hl=tr&rclk=1","36. Durak","·","Kazakistan Cd."
"https://www.google.com/maps/place/Odt%C3%BC+Fizik+B%C3%B6l%C3%BCm%C3%BC+Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3463c1c856783:0xcc2fadc4779b0a0a!8m2!3d39.894567!4d32.781079!16s%2Fg%2F11b7q6pzfn!19sChIJg2eFHDxG0xQRCgqbd8StL8w?authuser=0&hl=tr&rclk=1","Odtü Fizik Bölümü Otobüs Durağı","·","ODTÜ Fizik"
"https://www.google.com/maps/place/Rekt%C3%B6rl%C3%BCk+Otob%C3%BCs+Durak/data=!4m7!3m6!1s0x14d3463d0dc3c8f3:0x7d9ac152b03d5447!8m2!3d39.896127!4d32.784177!16s%2Fg%2F11b7q4lr40!19sChIJ88jDDT1G0xQRR1Q9sFLBmn0?authuser=0&hl=tr&rclk=1","Rektörlük Otobüs Durak","·","ODTÜ Kampüsü"
